State,Number of CoCs,TotalHomeless2012,"Sheltered Homeless, 2012","Unsheltered Homeless, 2012","Homeless Individuals, 2012","Sheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals, 2012","Homeless People in Families, 2012","Sheltered Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Chronically Homeless, 2012","Sheltered Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Chronically Homeless Individuals, 2012","Sheltered Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Chronically Homeless People in Families, 2012","Sheltered Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Homeless Veterans, 2012","Sheltered Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012"
AK,2,1913,1716,197,1298,1157,141,615,559,56,279,263,16,273,257,16,6,6,0,256,227,29
AL,8,5209,3664,1545,3825,2573,1252,1384,1091,293,969,353,616,910,331,579,59,22,37,526,377,149
AR,6,4214,1602,2612,3428,1191,2237,786,411,375,437,171,266,361,142,219,76,29,47,362,205,157
AZ,3,11302,8215,3087,6310,3786,2524,4992,4429,563,1895,615,1280,1605,389,1216,290,226,64,1478,1007,471
CA,42,120098,45890,74208,94888,26494,68394,25210,19396,5814,33356,5458,27898,30189,4912,25277,3167,546,2621,14611,4512,10099
CO,3,16768,7260,9508,5101,2847,2254,11667,4413,7254,1943,784,1159,1612,493,1119,331,291,40,1512,800,712
CT,7,4209,3514,695,2906,2252,654,1303,1262,41,944,614,330,924,594,330,20,20,0,332,285,47
DC,1,6954,6275,679,3767,3088,679,3187,3187,0,2315,1773,542,1870,1328,542,445,445,0,531,466,65
DE,1,1008,986,22,611,589,22,397,397,0,100,89,11,84,73,11,16,16,0,66,64,2
FL,28,55170,19832,35338,36771,12801,23970,18399,7031,11368,10054,2406,7648,8682,2132,6550,1372,274,1098,5331,2201,3130
GA,7,20516,8320,12196,15363,4816,10547,5153,3504,1649,3843,1426,2417,3016,1030,1986,827,396,431,2297,1094,1203
GU,1,1301,187,1114,255,65,190,1046,122,924,226,0,226,22,0,22,204,0,204,31,6,25
HI,2,6246,3726,2520,3130,1075,2055,3116,2651,465,949,146,803,910,128,782,39,18,21,507,230,277
IA,3,2928,2780,148,1446,1302,144,1482,1478,4,307,218,89,270,181,89,37,37,0,217,205,12
ID,2,1968,1482,486,1175,787,388,793,695,98,252,111,141,200,90,110,52,21,31,260,184,76
IL,20,14144,11149,2995,8269,5808,2461,5875,5341,534,2206,1144,1062,2079,1086,993,127,58,69,1147,813,334
IN,3,6259,5370,889,3316,2661,655,2943,2709,234,545,369,176,461,285,176,84,84,0,687,547,140
KS,5,2684,2350,334,1526,1265,261,1158,1085,73,371,275,96,307,218,89,64,57,7,373,329,44
KY,3,5230,4319,911,3282,2555,727,1948,1764,184,629,423,206,497,347,150,132,76,56,440,369,71
LA,9,7772,3807,3965,6322,2438,3884,1450,1369,81,2893,352,2541,2743,280,2463,150,72,78,899,450,449
MA,19,17501,16779,722,6289,5577,712,11212,11202,10,2055,1723,332,1500,1168,332,555,555,0,1181,1126,55
MD,16,9454,5942,3512,5727,3445,2282,3727,2497,1230,1407,559,848,1259,489,770,148,70,78,617,513,104
ME,2,2393,2360,33,1287,1254,33,1106,1106,0,233,231,2,222,220,2,11,11,0,116,116,0
MI,21,12592,10270,2322,7397,5487,1910,5195,4783,412,1370,843,527,1174,690,484,196,153,43,1017,835,182
MN,10,7744,6754,990,3540,2793,747,4204,3961,243,1718,1346,372,1004,700,304,714,646,68,309,243,66
MO,8,10237,7893,2344,4855,3531,1324,5382,4362,1020,1632,1028,604,906,609,297,726,419,307,899,714,185
MS,3,2413,1042,1371,1794,626,1168,619,416,203,501,67,434,450,55,395,51,12,39,244,71,173
MT,1,1833,1153,680,1166,653,513,667,500,167,388,213,175,304,161,143,84,52,32,323,147,176
NC,12,13524,8809,4715,8480,5461,3019,5044,3348,1696,1621,702,919,1465,641,824,156,61,95,1413,1091,322
ND,1,688,635,53,485,445,40,203,190,13,86,78,8,81,75,6,5,3,2,160,144,16
NE,3,3789,2957,832,2215,1861,354,1574,1096,478,501,333,168,396,288,108,105,45,60,249,213,36
NH,3,1496,1329,167,832,683,149,664,646,18,274,180,94,237,151,86,37,29,8,127,116,11
NJ,19,13025,11429,1596,6603,5387,1216,6422,6042,380,1026,717,309,881,609,272,145,108,37,592,465,127
NM,2,3245,2397,848,2136,1471,665,1109,926,183,1072,613,459,973,566,407,99,47,52,345,202,143
NV,3,8497,3970,4527,7493,2999,4494,1004,971,33,1725,599,1126,1603,480,1123,122,119,3,1229,691,538
NY,31,69566,65482,4084,30133,26097,4036,39433,39385,48,4897,2461,2436,4324,1902,2422,573,559,14,4961,4370,591
OH,9,13977,12246,1731,7855,6432,1423,6122,5814,308,1982,1367,615,1788,1196,592,194,171,23,1244,1034,210
OK,8,5032,3043,1989,3454,2073,1381,1578,970,608,569,287,282,481,237,244,88,50,38,404,299,105
OR,7,15828,6545,9283,9788,3492,6296,6040,3053,2987,3302,754,2548,2782,654,2128,520,100,420,1356,558,798
PA,18,14736,13660,1076,7295,6316,979,7441,7344,97,2106,1121,985,1564,971,593,542,150,392,1456,1321,135
PR,2,3212,1346,1866,2494,944,1550,718,402,316,3251,251,3000,1597,199,1398,1654,52,1602,116,29,87
RI,1,1277,1249,28,788,760,28,489,489,0,154,154,0,148,148,0,6,6,0,96,96,0
SC,4,4915,2776,2139,3327,1789,1538,1588,987,601,528,114,414,388,113,275,140,1,139,543,320,223
SD,1,859,795,64,512,465,47,347,330,17,138,125,13,113,100,13,25,25,0,124,114,10
TN,10,9426,5778,3648,6905,4167,2738,2521,1611,910,2266,1126,1140,2114,1053,1061,152,73,79,1285,973,312
TX,14,34052,17501,16551,20743,9030,11713,13309,8471,4838,6650,2180,4470,6115,1860,4255,535,320,215,4364,1884,2480
UT,3,3527,3052,475,2049,1641,408,1478,1411,67,443,299,144,331,240,91,112,59,53,330,297,33
VA,19,8424,6995,1429,5084,3799,1285,3340,3196,144,1646,1042,604,1531,969,562,115,73,42,881,727,154
VI,1,484,106,378,438,60,378,46,46,0,193,2,191,193,2,191,0,0,0,33,1,32
VT,2,1160,937,223,653,483,170,507,454,53,228,153,75,190,128,62,38,25,13,109,93,16
WA,7,20504,15027,5477,11273,6444,4829,9231,8583,648,2213,1227,986,2041,1138,903,172,89,83,1475,1097,378
WI,4,6027,5446,581,3033,2619,414,2994,2827,167,487,361,126,377,270,107,110,91,19,539,525,14
WV,4,2410,1533,877,1742,1033,709,668,500,168,410,215,195,346,172,174,64,43,21,268,219,49
WY,1,1813,475,1338,1302,292,1010,511,183,328,452,99,353,375,97,278,77,2,75,311,128,183
