State,Number of CoCs,TotalHomeless2013,"Sheltered Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Chronically Homeless, 2013","Sheltered Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
AK,2,1946,1741,205,1362,1208,154,584,533,51,184,138,46,166,124,42,18,14,4,210,188,22
AL,8,4689,3246,1443,3387,2212,1175,1302,1034,268,858,295,563,768,249,519,90,46,44,511,363,148
AR,6,3812,1664,2148,3174,1177,1997,638,487,151,602,171,431,565,142,423,37,29,8,462,326,136
AZ,3,10562,7431,3131,6510,3662,2848,4052,3769,283,1188,520,668,1064,450,614,124,70,54,1222,901,321
CA,40,118552,45554,72998,93458,26426,67032,25094,19128,5966,33112,5251,27861,29248,4177,25071,3864,1074,2790,12895,4886,8009
CO,3,9754,7591,2163,4664,3075,1589,5090,4516,574,1780,846,934,1354,665,689,426,181,245,685,452,233
CT,6,4448,3529,919,3101,2275,826,1347,1254,93,1046,678,368,872,542,330,174,136,38,341,267,74
DC,1,6865,6353,512,3696,3184,512,3169,3169,0,2027,1566,461,1764,1303,461,263,263,0,499,435,64
DE,1,946,936,10,575,565,10,371,371,0,71,68,3,65,62,3,6,6,0,89,86,3
FL,28,47862,19670,28192,31359,12330,19029,16503,7340,9163,9647,1873,7774,7778,1608,6170,1869,265,1604,5505,2328,3177
GA,9,16971,8510,8461,12880,5250,7630,4091,3260,831,3082,936,2146,2713,842,1871,369,94,275,1805,900,905
GU,1,1271,128,1143,296,35,261,975,93,882,290,1,289,51,1,50,239,0,239,32,2,30
HI,2,6335,3745,2590,3355,1142,2213,2980,2603,377,1180,273,907,1031,212,819,149,61,88,558,234,324
IA,3,3084,2950,134,1524,1392,132,1560,1558,2,327,258,69,277,208,69,50,50,0,229,220,9
ID,2,1781,1404,377,1084,775,309,697,629,68,271,165,106,193,105,88,78,60,18,208,162,46
IL,20,13425,11229,2196,7958,6104,1854,5467,5125,342,1574,980,594,1403,890,513,171,90,81,1267,882,385
IN,3,6096,5396,700,3751,3167,584,2345,2229,116,580,409,171,511,343,168,69,66,3,743,666,77
KS,5,2693,2382,311,1480,1238,242,1213,1144,69,356,249,107,304,204,100,52,45,7,414,384,30
KY,3,5245,4491,754,3302,2733,569,1943,1758,185,541,268,273,394,219,175,147,49,98,607,510,97
LA,9,5226,3651,1575,3908,2401,1507,1318,1250,68,1115,245,870,1015,227,788,100,18,82,575,383,192
MA,18,19029,18179,850,6694,5883,811,12335,12296,39,2115,1715,400,1577,1180,397,538,535,3,1253,1204,49
MD,16,8205,6283,1922,5221,3717,1504,2984,2566,418,1480,862,618,1249,725,524,231,137,94,673,563,110
ME,2,3016,2954,62,1563,1518,45,1453,1436,17,176,176,0,159,159,0,17,17,0,164,150,14
MI,21,11527,9339,2188,7236,5519,1717,4291,3820,471,1106,666,440,969,578,391,137,88,49,1100,945,155
MN,10,8214,7299,915,3728,3023,705,4486,4276,210,1350,1001,349,915,622,293,435,379,56,349,286,63
MO,8,8581,6501,2080,4652,3365,1287,3929,3136,793,1037,601,436,695,394,301,342,207,135,843,667,176
MS,3,2403,1083,1320,1753,648,1105,650,435,215,475,68,407,408,61,347,67,7,60,210,129,81
MT,1,1878,1094,784,1211,574,637,667,520,147,227,65,162,210,55,155,17,10,7,309,118,191
NC,12,12168,9013,3155,7530,5383,2147,4638,3630,1008,1842,802,1040,1451,675,776,391,127,264,1123,934,189
ND,1,2069,674,1395,1230,443,787,839,231,608,179,68,111,110,68,42,69,0,69,241,60,181
NE,3,3145,2972,173,1892,1733,159,1253,1239,14,414,342,72,339,273,66,75,69,6,183,161,22
NH,3,1447,1245,202,798,626,172,649,619,30,255,135,120,226,118,108,29,17,12,125,112,13
NJ,17,12002,10603,1399,6093,4916,1177,5909,5687,222,1237,847,390,1002,638,364,235,209,26,540,420,120
NM,2,2819,2391,428,1786,1411,375,1033,980,53,525,306,219,399,240,159,126,66,60,243,183,60
NV,3,7039,3698,3341,6200,2899,3301,839,799,40,724,377,347,718,375,343,6,2,4,790,477,313
